time,x,y
2017-02-02T17:43:29.114499+00:00,449358,385164
2017-02-02T17:43:29.148219+00:00,449358,385164
2017-02-02T17:43:29.181939+00:00,449358,386947
2017-02-02T17:43:29.215659+00:00,449358,386947
2017-02-02T17:43:29.249379+00:00,445791,386947
2017-02-02T17:43:29.283099+00:00,445791,386947
2017-02-02T17:43:29.316819+00:00,444008,385164
2017-02-02T17:43:29.350538+00:00,438659,385164
2017-02-02T17:43:29.384258+00:00,435092,385164
2017-02-02T17:43:29.417978+00:00,435092,385164
2017-02-02T17:43:29.451698+00:00,429743,385164
2017-02-02T17:43:29.485418+00:00,427960,385164
2017-02-02T17:43:29.519138+00:00,427960,385164
2017-02-02T17:43:29.552858+00:00,424393,383380
2017-02-02T17:43:29.586578+00:00,424393,383380
2017-02-02T17:43:29.620298+00:00,420827,385164
2017-02-02T17:43:29.654018+00:00,417261,385164
2017-02-02T17:43:29.687738+00:00,419044,385164
2017-02-02T17:43:29.721458+00:00,422610,385164
2017-02-02T17:43:29.755178+00:00,420827,385164
2017-02-02T17:43:29.788898+00:00,422610,386947
2017-02-02T17:43:29.822618+00:00,424393,386947
2017-02-02T17:43:29.856338+00:00,427960,386947
2017-02-02T17:43:29.890057+00:00,431526,386947
2017-02-02T17:43:29.923777+00:00,431526,388730
2017-02-02T17:43:29.957497+00:00,433309,388730
2017-02-02T17:43:29.991217+00:00,433309,388730
2017-02-02T17:43:30.024937+00:00,433309,386947
2017-02-02T17:43:30.058657+00:00,433309,388730
2017-02-02T17:43:30.092377+00:00,431526,390513
2017-02-02T17:43:30.126097+00:00,429743,390513
2017-02-02T17:43:30.159817+00:00,424393,392296
2017-02-02T17:43:30.193537+00:00,419044,394079
2017-02-02T17:43:30.227257+00:00,415477,395863
2017-02-02T17:43:30.260977+00:00,413694,397646
2017-02-02T17:43:30.294697+00:00,411911,397646
